jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi
15,MIDFIELDER,Djibril Sow,1997-02-06,50072,CENTRAL_MIDFIELDER,250065420,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250065420.jpg,SUI,Milieu,,,128,A,24,24.361643835616437,
8,MIDFIELDER,Remo Freuler,1992-04-15,52816,CENTRAL_MIDFIELDER,250023097,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250023097.jpg,SUI,Milieu,181.0,77.0,128,A,29,29.17808219178082,23.503556057507403
19,FORWARD,Mario Gavranović,1989-11-24,50164,STRIKER,102130,https://img.uefa.com/imgml/TP/players/3/2020/324x324/102130.jpg,SUI,Attaquant,175.0,,128,A,32,31.56986301369863,
7,FORWARD,Breel Embolo,1997-02-14,52757,STRIKER,250064274,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250064274.jpg,SUI,Attaquant,185.0,84.0,128,A,24,24.339726027397262,24.543462381300216
18,FORWARD,Admir Mehmedi,1991-03-16,64332,STRIKER,1905353,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1905353.jpg,SUI,Attaquant,183.0,81.0,128,A,30,30.263013698630136,24.187046492878256
9,FORWARD,Haris Seferović,1992-02-22,50147,STRIKER,250002548,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250002548.jpg,SUI,Attaquant,185.0,85.0,128,A,29,29.323287671232876,24.835646457268076
12,GOALKEEPER,Altay Bayındır,1998-04-14,52692,UNKNOWN,250107375,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250107375.jpg,TUR,Gardien,,,135,A,23,23.17808219178082,
23,GOALKEEPER,Uğurcan Çakır,1996-04-05,52731,GOALKEEPER,250078452,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250078452.jpg,TUR,Gardien,188.0,,135,A,25,25.202739726027396,
1,GOALKEEPER,Mert Günok,1989-03-01,2600288,GOALKEEPER,103243,https://img.uefa.com/imgml/TP/players/3/2020/324x324/103243.jpg,TUR,Gardien,196.0,92.0,135,A,32,32.3041095890411,23.94835485214494
13,DEFENDER,Umut Meraş,1995-12-20,52664,UNKNOWN,250097387,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250097387.jpg,TUR,Défenseur,,,135,A,26,25.495890410958904,
4,DEFENDER,Çağlar Söyüncü,1996-05-23,53577,CENTRE_BACK,250082679,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250082679.jpg,TUR,Défenseur,187.0,80.0,135,A,25,25.07123287671233,22.877405702193368
25,DEFENDER,Mert Müldür,1999-04-03,2600632,CENTRE_BACK,250097238,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250097238.jpg,TUR,Défenseur,,,135,A,22,22.208219178082192,
22,DEFENDER,Kaan Ayhan,1994-11-10,2600632,CENTRE_BACK,250023940,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250023940.jpg,TUR,Défenseur,185.0,84.0,135,A,27,26.605479452054794,24.543462381300216
15,DEFENDER,Ozan Kabak,2000-03-25,7889,CENTRE_BACK,250103777,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250103777.jpg,TUR,Défenseur,,,135,A,21,21.23013698630137,
3,DEFENDER,Merih Demiral,1998-03-05,50139,UNKNOWN,250077686,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250077686.jpg,TUR,Défenseur,,,135,A,23,23.28767123287671,
2,DEFENDER,Zeki Çelik,1997-02-17,75797,FULL_BACK,250067420,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250067420.jpg,TUR,Défenseur,,,135,A,24,24.33150684931507,
18,DEFENDER,Rıdvan Yılmaz,2001-05-21,50157,FULL_BACK,250108732,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250108732.jpg,TUR,Défenseur,,,135,A,20,20.073972602739726,
5,MIDFIELDER,Okay Yokuşlu,1994-03-09,53359,CENTRAL_MIDFIELDER,250014355,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250014355.jpg,TUR,Milieu,191.0,86.0,135,A,27,27.279452054794522,23.573915188728378
8,MIDFIELDER,Dorukhan Toköz,1996-05-21,50157,DEFENSIVE_MIDFIELDER,250112811,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250112811.jpg,TUR,Milieu,,,135,A,25,25.076712328767123,
19,MIDFIELDER,Orkun Kökçü,2000-12-29,52749,ATTACKING_MIDFIELDER,250113211,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250113211.jpg,TUR,Milieu,,,135,A,21,20.465753424657535,
14,MIDFIELDER,Taylan Antalyalı,1995-01-08,50067,UNKNOWN,250042567,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250042567.jpg,TUR,Milieu,,,135,A,26,26.443835616438356,
24,MIDFIELDER,M. Kerem Aktürkoğlu,1998-10-21,50067,UNKNOWN,250146674,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250146674.jpg,TUR,Milieu,,,135,A,23,22.65753424657534,
20,MIDFIELDER,Abdülkadir Ömür,1999-06-25,52731,CENTRAL_MIDFIELDER,250089842,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250089842.jpg,TUR,Milieu,,,135,A,22,21.980821917808218,
26,MIDFIELDER,Halil Dervişoğlu,1999-12-08,50067,UNKNOWN,250118078,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250118078.jpg,TUR,Milieu,,,135,A,22,21.526027397260275,
21,MIDFIELDER,İrfan Can Kahveci,1995-07-15,52692,ATTACKING_MIDFIELDER,250046542,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250046542.jpg,TUR,Milieu,,,135,A,26,25.92876712328767,
6,MIDFIELDER,Ozan Tufan,1995-03-23,52692,DEFENSIVE_MIDFIELDER,250053203,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250053203.jpg,TUR,Milieu,179.0,70.0,135,A,26,26.24109589041096,21.847008520333322
10,MIDFIELDER,Hakan Çalhanoğlu,1994-02-08,50058,ATTACKING_MIDFIELDER,250022829,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250022829.jpg,TUR,Milieu,176.0,76.0,135,A,27,27.35890410958904,24.535123966942148
9,FORWARD,Kenan Karaman,1994-03-05,5926,,250050354,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250050354.jpg,TUR,Attaquant,,,135,A,27,27.29041095890411,
16,FORWARD,Enes Ünal,1997-05-10,87960,STRIKER,250062599,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250062599.jpg,TUR,Attaquant,,,135,A,24,24.106849315068494,
17,FORWARD,Burak Yılmaz,1985-07-15,75797,STRIKER,62309,https://img.uefa.com/imgml/TP/players/3/2020/324x324/62309.jpg,TUR,Attaquant,188.0,77.0,135,A,36,35.93424657534246,21.785875961973744
7,FORWARD,Cengiz Ünder,1997-07-14,53577,WINGER,250082680,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250082680.jpg,TUR,Attaquant,173.0,68.0,135,A,24,23.92876712328767,22.720438370810918
11,FORWARD,Yusuf Yazıcı,1997-01-29,75797,STRIKER,250097254,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250097254.jpg,TUR,Attaquant,,,135,A,24,24.383561643835616,
21,GOALKEEPER,Adam Davies,1992-07-17,53356,UNKNOWN,250100010,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250100010.jpg,WAL,Gardien,,,144,A,29,28.923287671232877,
1,GOALKEEPER,Wayne Hennessey,1987-01-24,52916,GOALKEEPER,74897,https://img.uefa.com/imgml/TP/players/3/2020/324x324/74897.jpg,WAL,Gardien,198.0,90.0,144,A,34,34.40547945205479,22.95684113865932
12,GOALKEEPER,Danny Ward,1993-06-22,53577,GOALKEEPER,250012939,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250012939.jpg,WAL,Gardien,191.0,88.0,144,A,28,27.991780821917807,24.12214577451276
17,DEFENDER,Rhys Norrington-Davies,1999-04-22,68215,UNKNOWN,250116809,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250116809.jpg,WAL,Défenseur,,,144,A,22,22.156164383561645,
14,DEFENDER,Connor Roberts,1995-09-23,52659,,250097244,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250097244.jpg,WAL,Défenseur,,,144,A,26,25.736986301369864,
15,DEFENDER,Ethan Ampadu,2000-09-14,52914,UNKNOWN,250097090,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250097090.jpg,WAL,Défenseur,,,144,A,21,20.756164383561643,
2,DEFENDER,Chris Gunter,1989-07-21,69598,FULL_BACK,102221,https://img.uefa.com/imgml/TP/players/3/2020/324x324/102221.jpg,WAL,Défenseur,180.0,71.0,144,A,32,31.915068493150685,21.91358024691358
6,DEFENDER,Joe Rodon,1997-10-22,1652,,250101045,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250101045.jpg,WAL,Défenseur,,,144,A,24,23.654794520547945,
5,DEFENDER,Tom Lockyer,1994-12-03,74222,UNKNOWN,250090824,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250090824.jpg,WAL,Défenseur,,,144,A,27,26.542465753424658,
4,DEFENDER,Ben Davies,1993-04-24,1652,FULL_BACK,250012942,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250012942.jpg,WAL,Défenseur,181.0,76.0,144,A,28,28.153424657534245,23.198315069747565
3,DEFENDER,Neco Williams,2001-04-13,7889,UNKNOWN,250113272,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250113272.jpg,WAL,Défenseur,,,144,A,20,20.17808219178082,
22,DEFENDER,Chris Mepham,1997-11-05,2601124,,250112383,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250112383.jpg,WAL,Défenseur,,,144,A,24,23.616438356164384,
24,DEFENDER,Benjamin Cabango,2000-05-30,52659,UNKNOWN,250103440,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250103440.jpg,WAL,Défenseur,,,144,A,21,21.04931506849315,
10,MIDFIELDER,Aaron Ramsey,1990-12-26,50139,CENTRAL_MIDFIELDER,103769,https://img.uefa.com/imgml/TP/players/3/2020/324x324/103769.jpg,WAL,Milieu,178.0,76.0,144,A,31,30.482191780821918,23.98687034465345
26,MIDFIELDER,Matthew Smith,1999-11-22,52919,,250081812,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250081812.jpg,WAL,Milieu,,,144,A,22,21.56986301369863,
20,MIDFIELDER,Daniel James,1997-11-10,52682,WINGER,250065198,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250065198.jpg,WAL,Milieu,,,144,A,24,23.602739726027398,
8,MIDFIELDER,Harry Wilson,1997-03-22,7889,UNKNOWN,250065203,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250065203.jpg,WAL,Milieu,,,144,A,24,24.24109589041096,
7,MIDFIELDER,Joe Allen,1990-03-14,53356,CENTRAL_MIDFIELDER,107011,https://img.uefa.com/imgml/TP/players/3/2020/324x324/107011.jpg,WAL,Milieu,168.0,62.0,144,A,31,31.268493150684932,21.9671201814059
18,MIDFIELDER,Jonny Williams,1993-10-09,50095,WINGER,250007344,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250007344.jpg,WAL,Milieu,168.0,60.0,144,A,28,27.693150684931506,21.258503401360546
19,MIDFIELDER,David Brooks,1997-07-08,2601124,ATTACKING_MIDFIELDER,250076590,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250076590.jpg,WAL,Milieu,,,144,A,24,23.945205479452056,
23,MIDFIELDER,Dylan Levitt,2000-11-17,52682,CENTRAL_MIDFIELDER,250103444,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250103444.jpg,WAL,Milieu,,,144,A,21,20.58082191780822,
25,MIDFIELDER,Rubin Colwill,2002-04-27,50095,UNKNOWN,250117658,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250117658.jpg,WAL,Milieu,,,144,A,19,19.13972602739726,
16,MIDFIELDER,Joe Morrell,1997-01-03,74222,UNKNOWN,250065196,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250065196.jpg,WAL,Milieu,,,144,A,24,24.454794520547946,
11,FORWARD,Gareth Bale,1989-07-16,50051,STRIKER,102225,https://img.uefa.com/imgml/TP/players/3/2020/324x324/102225.jpg,WAL,Attaquant,183.0,74.0,144,A,32,31.92876712328767,22.096807907073963
9,FORWARD,Tyler Roberts,1999-01-12,53361,,250079203,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250079203.jpg,WAL,Attaquant,,,144,A,22,22.43013698630137,
13,FORWARD,Kieffer Moore,1992-08-08,50095,UNKNOWN,250130512,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250130512.jpg,WAL,Attaquant,,,144,A,29,28.863013698630137,
12,GOALKEEPER,Simon Mignolet,1988-03-06,50043,GOALKEEPER,98078,https://img.uefa.com/imgml/TP/players/3/2020/324x324/98078.jpg,BEL,Gardien,193.0,87.0,13,B,33,33.29041095890411,23.35633171360305
1,GOALKEEPER,Thibaut Courtois,1992-05-11,50051,GOALKEEPER,250011668,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250011668.jpg,BEL,Gardien,199.0,91.0,13,B,29,29.106849315068494,22.979217696522813
13,GOALKEEPER,Matz Sels,1992-02-26,59857,GOALKEEPER,250007046,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250007046.jpg,BEL,Gardien,188.0,75.0,13,B,29,29.312328767123287,21.22000905387053
5,DEFENDER,Jan Vertonghen,1987-04-24,50147,CENTRE_BACK,103704,https://img.uefa.com/imgml/TP/players/3/2020/324x324/103704.jpg,BEL,Défenseur,189.0,79.0,13,B,34,34.15890410958904,22.11584222166233
4,DEFENDER,Dedryck Boyata,1990-11-28,5451,CENTRE_BACK,250005255,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250005255.jpg,BEL,Défenseur,188.0,84.0,13,B,31,30.55890410958904,23.766410140334994
