association_logo_url,big_logo_url,country_code,id_provider,international_name,logo_url,medium_logo_url,team_code,team_type_detail,display_official_name,club_id
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52919.png,ENG,FAME,Man. City,https://img.uefa.com/imgml/TP/teams/logos/70x70/52919.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,MC,DOMESTIC_MEN_TEAM_A,Manchester City FC,52919
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52682.png,ENG,FAME,Man. United,https://img.uefa.com/imgml/TP/teams/logos/70x70/52682.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52682.png,MU,DOMESTIC_MEN_TEAM_A,Manchester United FC,52682
https://img.uefa.com/imgml/uefacom/elements/logos/ma/WAL.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50095.png,WAL,FAME,Cardiff,https://img.uefa.com/imgml/TP/teams/logos/70x70/50095.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50095.png,CAR,DOMESTIC_MEN_TEAM_A,Cardiff City FC,50095
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ESP.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50051.png,ESP,FAME,Real Madrid,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,RM,DOMESTIC_MEN_TEAM_A,Real Madrid CF,50051
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53361.png,ENG,FAME,Leeds,https://img.uefa.com/imgml/TP/teams/logos/70x70/53361.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53361.png,LEE,DOMESTIC_MEN_TEAM_A,Leeds United,53361
https://img.uefa.com/imgml/uefacom/elements/logos/ma/BEL.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50043.png,BEL,FAME,Club Brugge,https://img.uefa.com/imgml/TP/teams/logos/70x70/50043.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50043.png,BRU,DOMESTIC_MEN_TEAM_A,Club Brugge,50043
https://img.uefa.com/imgml/uefacom/elements/logos/ma/FRA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/59857.png,FRA,FAME,Strasbourg,https://img.uefa.com/imgml/TP/teams/logos/70x70/59857.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/59857.png,STR,DOMESTIC_MEN_TEAM_A,Racing Club de Strasbourg Alsace,59857
https://img.uefa.com/imgml/uefacom/elements/logos/ma/GER.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/5451.png,GER,FAME,Hertha,https://img.uefa.com/imgml/TP/teams/logos/70x70/5451.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/5451.png,HER,DOMESTIC_MEN_TEAM_A,Hertha BSC Berlin,5451
https://img.uefa.com/imgml/uefacom/elements/logos/ma/JPN.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/2610816.png,JPN,FAME,Vissel Kobe,https://img.uefa.com/imgml/TP/teams/logos/70x70/2610816.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/2610816.png,,DOMESTIC_MEN_TEAM_A,Vissel Kobe,2610816
https://img.uefa.com/imgml/uefacom/elements/logos/ma/FRA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/5312.png,FRA,FAME,Lyon,https://img.uefa.com/imgml/TP/teams/logos/70x70/5312.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/5312.png,OL,DOMESTIC_MEN_TEAM_A,Olympique Lyonnais,5312
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ESP.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50124.png,ESP,FAME,Atlético,https://img.uefa.com/imgml/TP/teams/logos/70x70/50124.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50124.png,ATL,DOMESTIC_MEN_TEAM_A,Club Atlético de Madrid,50124
