jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi,association_logo_url,big_logo_url,country_code_club,id_provider,international_name_club,logo_url,medium_logo_url,team_code,team_type_detail,display_official_name,field_position_hr,field_position_color,country_name,country_flag,country_name_club,country_flag_club,league_name,group_hr,nbr_selections,nbr_selections_euro,nbr_selections_wcup,nbr_selections_friendly
20,FORWARD,Christian Benteke,1990-12-03,52916,STRIKER,1902165,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1902165.jpg,BEL,Attaquant,190.0,83.0,13,B,31,30.54520547945205,22.99168975069252,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52916.png,ENG,FAME,Crystal Palace,https://img.uefa.com/imgml/TP/teams/logos/70x70/52916.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52916.png,CRY,DOMESTIC_MEN_TEAM_A,Crystal Palace FC,Forward,#e5ae38,Belgium,🇧🇪,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Premiere League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Group B,68.0,21.0,20.0,23.0
22,GOALKEEPER,Frederik Rønnow,1992-08-04,57388,GOALKEEPER,250023709,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250023709.jpg,DEN,Gardien,188.0,77.0,35,B,29,28.873972602739727,21.785875961973744,https://img.uefa.com/imgml/uefacom/elements/logos/ma/GER.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/57388.png,GER,FAME,Schalke,https://img.uefa.com/imgml/TP/teams/logos/70x70/57388.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/57388.png,SCH,DOMESTIC_MEN_TEAM_A,FC Schalke 04,Goalkeeper,#fc4f30,Denmark,🇩🇰,Germany,🇩🇪,Bundesliga 🇩🇪,Group B,39.0,7.0,14.0,10.0
16,GOALKEEPER,Jonas Lössl,1989-02-01,75795,GOALKEEPER,102867,https://img.uefa.com/imgml/TP/players/3/2020/324x324/102867.jpg,DEN,Gardien,195.0,89.0,35,B,32,32.38082191780822,23.405654174884944,https://img.uefa.com/imgml/uefacom/elements/logos/ma/DEN.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,DEN,FAME,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/70x70/75795.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/75795.png,MID,DOMESTIC_MEN_TEAM_A,FC Midtjylland,Goalkeeper,#fc4f30,Denmark,🇩🇰,Denmark,🇩🇰,Superligaen 🇩🇰,Group B,46.0,10.0,14.0,14.0
1,GOALKEEPER,Kasper Schmeichel,1986-11-05,53577,GOALKEEPER,74954,https://img.uefa.com/imgml/TP/players/3/2020/324x324/74954.jpg,DEN,Gardien,185.0,76.0,35,B,35,34.62465753424657,22.205989773557334,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53577.png,ENG,FAME,Leicester,https://img.uefa.com/imgml/TP/teams/logos/70x70/53577.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53577.png,LEI,DOMESTIC_MEN_TEAM_A,Leicester City FC,Goalkeeper,#fc4f30,Denmark,🇩🇰,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Premiere League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Group B,82.0,22.0,24.0,27.0
26,DEFENDER,Nicolai Boilesen,1992-02-16,52709,FULL_BACK,1905874,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1905874.jpg,DEN,Défenseur,184.0,70.0,35,B,29,29.339726027397266,20.6758034026465,https://img.uefa.com/imgml/uefacom/elements/logos/ma/DEN.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52709.png,DEN,FAME,Copenhagen,https://img.uefa.com/imgml/TP/teams/logos/70x70/52709.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52709.png,CPH,DOMESTIC_MEN_TEAM_A,F.C. Copenhagen,Defender,#6d904f,Denmark,🇩🇰,Denmark,🇩🇰,Superligaen 🇩🇰,Group B,24.0,6.0,5.0,12.0
17,DEFENDER,Jens Stryger Larsen,1991-02-21,51310,FULL_BACK,1905876,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1905876.jpg,DEN,Défenseur,180.0,81.0,35,B,30,30.326027397260276,25.0,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/51310.png,ITA,FAME,Udinese,https://img.uefa.com/imgml/TP/teams/logos/70x70/51310.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/51310.png,UDI,DOMESTIC_MEN_TEAM_A,Udinese Calcio,Defender,#6d904f,Denmark,🇩🇰,Italy,🇮🇹,Serie A 🇮🇹,Group B,44.0,9.0,17.0,13.0
5,DEFENDER,Joakim Mæhle,1997-05-20,52816,FULL_BACK,250081192,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250081192.jpg,DEN,Défenseur,,,35,B,24,24.07945205479452,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52816.png,ITA,FAME,Atalanta,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52816.png,ATA,DOMESTIC_MEN_TEAM_A,Atalanta BC,Defender,#6d904f,Denmark,🇩🇰,Italy,🇮🇹,Serie A 🇮🇹,Group B,12.0,1.0,2.0,4.0
4,DEFENDER,Simon Kjær,1989-03-26,50058,CENTRE_BACK,108509,https://img.uefa.com/imgml/TP/players/3/2020/324x324/108509.jpg,DEN,Défenseur,189.0,82.0,35,B,32,32.23561643835617,22.955684331345708,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50058.png,ITA,FAME,Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,ACM,DOMESTIC_MEN_TEAM_A,AC Milan,Defender,#6d904f,Denmark,🇩🇰,Italy,🇮🇹,Serie A 🇮🇹,Group B,114.0,29.0,35.0,42.0
13,DEFENDER,Mathias Jørgensen,1990-04-23,52709,CENTRE_BACK,107529,https://img.uefa.com/imgml/TP/players/3/2020/324x324/107529.jpg,DEN,Défenseur,191.0,79.0,35,B,31,31.15890410958904,21.655108138483047,https://img.uefa.com/imgml/uefacom/elements/logos/ma/DEN.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52709.png,DEN,FAME,Copenhagen,https://img.uefa.com/imgml/TP/teams/logos/70x70/52709.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52709.png,CPH,DOMESTIC_MEN_TEAM_A,F.C. Copenhagen,Defender,#6d904f,Denmark,🇩🇰,Denmark,🇩🇰,Superligaen 🇩🇰,Group B,54.0,10.0,15.0,19.0
2,DEFENDER,Joachim Andersen,1996-05-31,75386,,250070182,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250070182.jpg,DEN,Défenseur,,,35,B,25,25.04931506849315,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/75386.png,ENG,FAME,Fulham,https://img.uefa.com/imgml/TP/teams/logos/70x70/75386.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/75386.png,FUL,DOMESTIC_MEN_TEAM_A,Fulham FC,Defender,#6d904f,Denmark,🇩🇰,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Premiere League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Group B,15.0,7.0,3.0,3.0
